code,resource_key,recommended_master,alternative_files,demo_file,timeline_usage
A01,rain_soft,dw_official_env_rain_soft_loop_sc_rain_far_v02_t01.wav,dw_official_env_rain_soft_loop_sc_rain_far_v02_t02.wav,dw_official_env_rain_soft_loop_sc_rain_far_v02_t03.wav,0:00-10:20持续底层
A02,rain_parasol,dw_official_amb_rain_parasol_loop_sc_rain_near_v02_t01.wav,dw_official_amb_rain_parasol_loop_sc_rain_near_v02_t02.wav,dw_official_amb_rain_parasol_loop_sc_rain_near_v02_t03.wav,0:30-9:20主环境
A03,rain_bamboo_leaf,dw_official_amb_rain_bamboo_leaf_loop_sc_rain_soft_v02_t01.wav,dw_official_amb_rain_bamboo_leaf_loop_sc_rain_soft_v02_t02.wav,dw_official_amb_rain_bamboo_leaf_loop_sc_rain_soft_v02_t03.wav,3:40-8:50细节层
A04,wind_gust,dw_official_trg_wind_gust_oneshot_sc_rain_far_v03_t01.wav,dw_official_trg_wind_gust_oneshot_sc_rain_far_v03_t02.wav,,3:08与7:38各触发一次3.709秒远风
